time,open,high,low,close
2022.12.07 00:00,1771.02,1775.17,1768.72,1773.18
2022.12.07 04:00,1773.17,1775.17,1769.62,1772.80
2022.12.07 08:00,1772.76,1775.88,1771.14,1771.45
2022.12.07 12:00,1771.44,1787.76,1770.76,1780.53
2022.12.07 16:00,1780.54,1790.47,1776.32,1789.80
2022.12.07 20:00,1789.76,1790.11,1785.34,1787.07
2022.12.08 00:00,1787.07,1788.09,1781.45,1783.82
2022.12.08 04:00,1783.81,1787.09,1781.88,1785.98
2022.12.08 08:00,1785.96,1785.98,1781.66,1783.72
2022.12.08 12:00,1783.72,1794.85,1783.44,1790.24
2022.12.08 16:00,1790.24,1792.08,1786.60,1789.56
2022.12.08 20:00,1789.56,1790.22,1787.69,1789.30
2022.12.09 00:00,1789.29,1795.74,1788.45,1795.16
2022.12.09 04:00,1795.16,1797.77,1790.93,1792.77
2022.12.09 08:00,1792.75,1801.08,1788.87,1800.42
2022.12.09 12:00,1800.42,1804.57,1790.14,1796.72
2022.12.09 16:00,1796.78,1806.10,1796.02,1799.72
2022.12.09 20:00,1799.72,1799.72,1794.79,1797.11
2022.12.11 20:00,1796.73,1797.03,1794.79,1794.99
2022.12.12 00:00,1794.90,1794.96,1786.82,1787.46
2022.12.12 04:00,1787.38,1791.97,1785.49,1791.29
2022.12.12 08:00,1791.27,1795.44,1788.99,1794.36
2022.12.12 12:00,1794.41,1794.72,1783.06,1784.80
2022.12.12 16:00,1784.81,1785.30,1777.47,1781.54
2022.12.12 20:00,1781.53,1782.14,1779.51,1781.99
2022.12.13 00:00,1781.99,1786.05,1780.95,1782.46
2022.12.13 04:00,1782.54,1788.67,1781.09,1788.01
2022.12.13 08:00,1788.01,1788.33,1782.51,1787.49
2022.12.13 12:00,1787.49,1824.43,1786.62,1809.78
2022.12.13 16:00,1809.91,1815.14,1805.30,1811.37
2022.12.13 20:00,1811.39,1812.64,1809.39,1809.65
2022.12.14 00:00,1809.67,1812.63,1808.75,1809.97
2022.12.14 04:00,1809.94,1813.20,1807.44,1808.92
2022.12.14 08:00,1808.92,1810.23,1805.29,1806.65
2022.12.14 12:00,1806.65,1813.03,1804.30,1811.96
2022.12.14 16:00,1811.97,1812.34,1795.13,1805.17
2022.12.14 20:00,1805.16,1814.09,1804.22,1807.65
2022.12.15 00:00,1807.65,1807.79,1792.43,1793.07
2022.12.15 04:00,1793.07,1796.39,1787.51,1788.90
2022.12.15 08:00,1788.90,1789.85,1773.69,1778.87
2022.12.15 12:00,1778.79,1786.02,1773.75,1778.94
2022.12.15 16:00,1778.93,1779.88,1774.47,1777.86
2022.12.15 20:00,1777.85,1778.96,1775.56,1776.55
2022.12.16 00:00,1776.55,1784.13,1775.92,1779.51
2022.12.16 04:00,1779.50,1784.95,1776.46,1777.34
2022.12.16 08:00,1777.34,1785.38,1774.28,1782.47
2022.12.16 12:00,1782.45,1793.87,1782.13,1787.86
2022.12.16 16:00,1787.92,1793.15,1787.14,1792.84
2022.12.16 20:00,1792.86,1794.29,1791.76,1793.04
2022.12.18 20:00,1791.98,1793.19,1790.98,1791.05
2022.12.19 00:00,1791.02,1796.88,1790.92,1793.88
2022.12.19 04:00,1793.88,1794.66,1790.30,1793.33
2022.12.19 08:00,1793.34,1798.67,1793.32,1794.88
2022.12.19 12:00,1794.85,1795.96,1785.78,1786.11
2022.12.19 16:00,1786.15,1790.90,1783.86,1786.76
2022.12.19 20:00,1786.86,1788.03,1786.26,1787.20
2022.12.20 00:00,1787.18,1796.08,1784.56,1792.17
2022.12.20 04:00,1792.12,1795.69,1786.98,1794.11
2022.12.20 08:00,1794.08,1809.41,1793.98,1807.75
2022.12.20 12:00,1807.75,1821.09,1798.37,1815.31
2022.12.20 16:00,1815.30,1820.81,1813.81,1818.61
2022.12.20 20:00,1818.61,1819.23,1816.87,1817.23
2022.12.21 00:00,1817.22,1819.73,1814.39,1815.15
2022.12.21 04:00,1815.16,1816.41,1811.88,1816.39
2022.12.21 08:00,1816.36,1817.27,1811.83,1813.70
2022.12.21 12:00,1813.70,1823.79,1813.21,1817.81
2022.12.21 16:00,1817.78,1818.33,1813.51,1814.35
2022.12.21 20:00,1814.36,1815.56,1812.80,1814.93
2022.12.22 00:00,1814.93,1820.05,1814.61,1819.48
2022.12.22 04:00,1819.49,1820.45,1813.68,1816.97
2022.12.22 08:00,1816.87,1819.65,1813.73,1815.87
2022.12.22 12:00,1815.87,1819.93,1794.58,1795.58
2022.12.22 16:00,1795.59,1797.54,1784.81,1789.04
2022.12.22 20:00,1789.04,1795.08,1788.47,1793.50
2022.12.23 00:00,1793.50,1795.56,1791.20,1792.81
2022.12.23 04:00,1792.83,1798.24,1792.57,1797.63
2022.12.23 08:00,1797.62,1799.65,1795.09,1797.80
2022.12.23 12:00,1797.81,1801.08,1791.15,1800.49
2022.12.23 16:00,1800.49,1803.20,1793.62,1797.19
